15.37820231381874_100.1681486045095_240_2013-09_15_Road;komondor;0.0774174;standard poodle;0.0675819;llama;0.0563961;Angora, Angora rabbit;0.0417954;Old English sheepdog, bobtail;0.0379222
15.38664746120377_100.1496539993926_120_2013-07_12_Pavement;ladle;0.148721;nematode, nematode worm, roundworm;0.129788;bolo tie, bolo, bola tie, bola;0.0298458;hook, claw;0.0275902;knot;0.0189544
15.39492555565796_100.1619210958695_300_2013-09_8_SignSymbol;mountain bike, all-terrain bike, off-roader;0.483526;unicycle, monocycle;0.0744953;oxcart;0.0736533;worm fence, snake fence, snake-rail fence, Virginia fence;0.0243218;horse cart, horse-cart;0.0234796
15.38246777157937_100.1510837663819_300_2013-07_14_Road;lacewing, lacewing fly;0.0197711;switch, electric switch, electrical switch;0.0176606;nematode, nematode worm, roundworm;0.0142598;king penguin, Aptenodytes patagonica;0.0106469;barn spider, Araneus cavaticus;0.0101206
15.38723806158132_100.162963528896_300_2013-09_15_Road;Angora, Angora rabbit;0.0275673;spindle;0.0179001;ballpoint, ballpoint pen, ballpen, Biro;0.0161733;tick;0.0152538;black widow, Latrodectus mactans;0.0150761
15.38791147282855_100.1495172476174_120_2016-10_5_Tree;radio telescope, radio reflector;0.135561;maze, labyrinth;0.132549;worm fence, snake fence, snake-rail fence, Virginia fence;0.0336823;megalith, megalithic structure;0.0276115;airship, dirigible;0.0223016
15.37988442508588_100.1519627544599_180_2013-07_13_Road;aircraft carrier, carrier, flattop, attack aircraft carrier;0.0664521;stingray;0.0615652;ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus;0.0403672;shovel;0.0397004;electric ray, crampfish, numbfish, torpedo;0.0341853
15.38261138458177_100.1513148433241_60_2016-10_13_Road;seashore, coast, seacoast, sea-coast;0.274051;sandbar, sand bar;0.0775283;water snake;0.0316449;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.0280192;sea snake;0.0197588
15.38355054700269_100.1634384846563_120_2013-09_7_SignSymbol;seashore, coast, seacoast, sea-coast;0.0905799;worm fence, snake fence, snake-rail fence, Virginia fence;0.0823603;harvester, reaper;0.0500359;maze, labyrinth;0.0401535;plow, plough;0.0360133
15.38355054700269_100.1634384846563_120_2013-09_11_Road;dam, dike, dyke;0.0424372;vault;0.0381141;snowplow, snowplough;0.0275476;prison, prison house;0.0257085;mountain bike, all-terrain bike, off-roader;0.021206
15.38084916780254_100.1637878937341_240_2013-09_10_Road;seashore, coast, seacoast, sea-coast;0.0963514;dam, dike, dyke;0.0478587;mountain bike, all-terrain bike, off-roader;0.0348034;racer, race car, racing car;0.0312997;horse cart, horse-cart;0.0196193
15.37914078794975_100.1524953552038_0_2016-10_8_Tree;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;0.148792;hartebeest;0.0402702;worm fence, snake fence, snake-rail fence, Virginia fence;0.0358565;sandbar, sand bar;0.0292778;tow truck, tow car, wrecker;0.0197369
15.38080873887222_100.1516480750733_60_2013-07_14_Road;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus;0.0336921;banded gecko;0.033392;sidewinder, horned rattlesnake, Crotalus cerastes;0.0331937;nematode, nematode worm, roundworm;0.0330771;night snake, Hypsiglena torquata;0.02806
15.3870401730215_100.1495191087337_60_2013-07_12_Road;volcano;0.103435;nematode, nematode worm, roundworm;0.0672643;tray;0.0473188;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.0418375;killer whale, killer, orca, grampus, sea wolf, Orcinus orca;0.0369779
15.39113096956538_100.1624124510919_180_2013-09_12_Building;mountain bike, all-terrain bike, off-roader;0.0928106;valley, vale;0.0905541;worm fence, snake fence, snake-rail fence, Virginia fence;0.0191167;cliff, drop, drop-off;0.0154347;tench, Tinca tinca;0.0153317
15.3858059068312_100.1499430623159_240_2013-07_13_Road;banded gecko;0.0317817;nematode, nematode worm, roundworm;0.0258405;sidewinder, horned rattlesnake, Crotalus cerastes;0.022898;quill, quill pen;0.0218841;thunder snake, worm snake, Carphophis amoenus;0.021472
15.37905203203129_100.1522475398446_180_2013-07_16_Road;worm fence, snake fence, snake-rail fence, Virginia fence;0.0822673;mobile home, manufactured home;0.0451374;go-kart;0.0254399;bicycle-built-for-two, tandem bicycle, tandem;0.0251535;bathtub, bathing tub, bath, tub;0.0249104
15.37776163256824_100.1526959133353_120_2013-07_6_Car;minibus;0.829254;moving van;0.0256308;minivan;0.0221579;passenger car, coach, carriage;0.0145945;trolleybus, trolley coach, trackless trolley;0.0101904
15.38624616065_100.1630956671191_240_2013-09_6_Car;worm fence, snake fence, snake-rail fence, Virginia fence;0.130277;lakeside, lakeshore;0.0709098;stone wall;0.0661842;megalith, megalithic structure;0.0615626;maze, labyrinth;0.0234973
15.40139075610604_100.1571181388797_120_2013-09_8_Tree;valley, vale;0.0541426;mountain bike, all-terrain bike, off-roader;0.0309806;promontory, headland, head, foreland;0.0297649;lakeside, lakeshore;0.0295103;hartebeest;0.0265544
15.39990392763184_100.1585977802681_180_2013-09_14_Road;hoopskirt, crinoline;0.111711;gown;0.0924333;shower curtain;0.0674284;mosquito net;0.0474777;overskirt;0.033732
15.38161496791906_100.1513736994544_300_2013-07_10_Road;worm fence, snake fence, snake-rail fence, Virginia fence;0.0644282;mobile home, manufactured home;0.0587752;bicycle-built-for-two, tandem bicycle, tandem;0.0326254;mailbox, letter box;0.0307525;horse cart, horse-cart;0.0301944
15.38037069024209_100.1517971507086_180_2013-07_16_Sky;washbasin, handbasin, washbowl, lavabo, wash-hand basin;0.0352912;nematode, nematode worm, roundworm;0.032749;switch, electric switch, electrical switch;0.0292262;plane, carpenter's plane, woodworking plane;0.0212072;bathtub, bathing tub, bath, tub;0.0200074
15.39161685873814_100.1623511510293_240_2013-09_6_Tree;hartebeest;0.0637605;warthog;0.0410792;valley, vale;0.0349684;gazelle;0.0226591;tusker;0.0186928
15.38348709850502_100.1507369195242_60_2013-07_10_Road;seashore, coast, seacoast, sea-coast;0.227786;sandbar, sand bar;0.115498;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.0928692;go-kart;0.0198994;window screen;0.0111863
